Test;Without;With;Improvment;As fraction
test_beq;46;32;0,30; 1/3
test_bge;48;34;0,29; 2/7
test_bgeu;48;34;0,29; 2/7
test_blt;47;33;0,30; 2/7
test_bltu;47;33;0,30; 2/7
test_bne;49;35;0,29; 2/7
test_jal;16;14;0,13; 1/8
test_jalr;17;15;0,12; 1/8
test_lb;29;19;0,34; 1/3
test_lbu;29;19;0,34; 1/3
test_lh;32;20;0,38; 3/8
test_lhu;32;20;0,38; 3/8
test_li;23;17;0,26; 1/4
test_load_use;16;15;0,06;0    
test_lui;8;8;0,00;0    
test_lw;32;20;0,38; 3/8
test_sb;17;13;0,24; 1/4
test_sh;28;17;0,39; 2/5
test_sw;37;24;0,35; 1/3
test_addi;13;9;0,31; 1/3
test_andi;13;9;0,31; 1/3
test_auipc;10;10;0,00;0    
test_ori;13;9;0,31; 1/3
test_slli;14;10;0,29; 2/7
test_slti;19;15;0,21; 1/5
test_sltiu;19;15;0,21; 1/5
test_srai;22;14;0,36; 1/3
test_srli;14;10;0,29; 2/7
test_xori;13;9;0,31; 1/3
test_add;18;12;0,33; 1/3
test_and;14;10;0,29; 2/7
test_or;14;10;0,29; 2/7
test_sll;18;12;0,33; 1/3
test_slt;36;22;0,39; 2/5
test_sltu;36;22;0,39; 2/5
test_sra;30;18;0,40; 2/5
test_srl;18;12;0,33; 1/3
test_sub;18;12;0,33; 1/3
test_xor;14;10;0,29; 2/7
Average;-;-;0,28; 2/7